,skill,count
510,trend analysis,1
511,ad hoc reporting,1
512,supplier campaign tracking,1
513,small business,1
514,experience using statistical computer languages (r,1
515,etc.) to manipulate data and draw insights from large data sets.,1
516,data sciences,1
517,statistics or data modeling,1
518,must have skills:  data science  python  sas,1
519,machine learning and statistical modeling techniques,1
520,or other scripting languages,1
521,(toolkits like pandas,1
522,etc.) gcp or other cloud platforms,1
523,1. python 2. nlp 3. deep learning,1
524,kafka,1
525,presto - kafka,1
526,presto,1
527,chief data scientist,1
528,sql tableau marketing analysis,1
529,s3,2
530,ec2,1
531,data modeling and hypothesis generation,1
532,sap isu,1
533,data analyst and capacity and visualization and sql and azure,1
534,microstrategy,1
535,ux,1
536,r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1
537,process reengineering,1
538,reengineering,2
539,iterative development,1
540,critical thinking,3
541,structured,2
542,redshift - data scientist,1
543,data science python,1
544,model development experience,2
545,supply chain forecasting,1
546,machine learning jda software,1
547,sgml,1
548,sas or python,1
549,ai & cognitive technology,1
550,nlp and text analytics,1
551,numerical optimization,1
552,stochastic simulation,1
553,and behavioral modeling and simulation for bfs/retail,1
554,java or c++,1
555,nlp(natural language processing) git r matlab,1
556,quantitative business problem solving,1
557,solutions implementation,1
558,operations analysis,1
559,marketing analysis,1
560,simulation development and/or predictive analytics,1
561,data design,1
562,sagemaker,1
563,comprehend,1
564,computational physics - data science,1
565,computational physics,1
566,o advanced applied statistics skills,1
567,including distributions,1
568,statistical testing,1
569,etc. o excellent understanding of fundamental machine learning techniques and algorithms,1
570,such as k-nn,1
571,teaching technical concepts - data science,1
572,teaching technical concepts,1
573,cgi,1
574,scikit-learn data visualization (matplotlib,1
575,seaborn,1
576,etc) and analysis tools ( tableau,1
577,modeanalytics,1
578,etc.) amazon web services (aws),1
579,redshift is a plus.,1
580,apache zeppelin,1
581,elastic search,1
582,agile environment,2
583,ssps modeler experience,2
584,data modeling for analytics,2
585,big data management/concepts,2
586,agile work environment - data mining,1
587,agile work environment,1
588,glm,2
589,mixed effects,2
590,machine learning - python,1
591,test plan,1
592,astronomy,1
593,biology,1
594,dba,1
595,erwin,1
596,predictive modelling,1
597,microservices,1
598,bitbucket,1
599,test,1
600,kaggle,1
601,xgboost,2
602,golang - spark,1
603,sparks,1
604,finance,1
605,wps or spss or python prefer: sql server,1
606,tableu,1
607,looker,1
608,data warehouse reporting,1
609,financial data experience,1
610,natural programmer,1
611,statistics/data modeling,1
612,fintech,1
613,asset mgmt/electronic trading,1
614,cfa a plus,1
615,deep learning and machine learning and research and statistical models and (python,1
616,scala or c++),1
617,jda software,1
618,mdm analyst,1
619,master data management analyst,1
620,forecast,1
621,report,1
622,azure - data science,1
623,bs/ms in computer science,1
624,computer engineering,1
625,statistics or data mining disciplines5+ years experience as a data scientist (or equivalent role) applying statistical models,1
626,machine learning and supervised machine learning to cybersecurity or fraud detectionworking knowledge of security detection tools,1
627,logging systems,1
628,networking architecture,1
629,cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1
630,including python,1
631,scala or javaexperience driving research and early stage projects to production implementationcreative approach to problem solving and using leading edge tools to build innovative solutionsteam player with strong desire to learn,1
632,share knowledge and build a world class security platform,1
633,full stack,1
634,sql - full stack,1
635,postgres,1
636,rabbitmq,1
637,etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1
638,statistical/machine learning algorithms - machine learning,1
639,statistical/machine learning algorithms,1
640,python/r,1
641,bioinformatics,1
642,programmer,1
643,labeling,1
644,pl/sql,1
645,(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1
646,big data science,1
647,python (including numpy,1
648,scipy & pandas),1
649,bash/shell,1
650,sql (oracle,1
651,postgres) kafka,1
652,gpu,2
653,hive - python,1
654,scalanltk,1
655,stanford,1
656,corenlp,1
657,anaconda - python,1
658,anaconda,1
659,flash,1
660,backend coding,1
661,lambda functions,1
662,dynamodb,1
663,data scientist level 1 experience with data sets,1
664,structured and unstructured data,1
665,php,2
666,atlassian,1
667,random forest,1
668,neuro networks,1
669,google,2
670,netezza,1
671,cloundera,1
672,mongo,1
673,hadoop hbase,1
674,vertica,1
675,linear,1
676,xgboot,1
677,wrangle,1
678,data architect - r,1
679,stats,1
680,marketing analytics,1
681,quantitative modeling,2
682,google analytics,2
683,lead generation,2
684,full funnel analytics - marketing analytics,1
685,full funnel analytics,1
686,data science and implementations in python,1
687,etl and big data platforms,1
688,python.,1
689,3+ years experience doing data science with r and python in a professional,1
690,team setting (including git & unit testing),1
691,sybase,1
692,computer,1
693,engineer,1
694,engineering,1
695,performance,1
696,quality,1
697,systems,1
698,applied mathematics,1
699,experience with machine learning,1
700,computer vision or developing software libraries that abstract/encapsulate custom hardware devices.,1
701,sql and data visualization software,1
702,modeling - python,1
703,python - machine learning,1
704,data scientist machine learning statistical modeling database data python r cloud,1
705,(machine learning ) and (artificial intelligence ) and (rafa ),1
706,data scientist machine learning,1
707,big data storage,1
708,accumulo,1
709,cloudbase,1
710,bigtable,1
711,enterprise architect,1
712,public cloud,1
713,infrastructure/platform design,1
714,cloud/analytics,1
715,cloud enablement/deployment,1
716,docker,1
717,kubernates,1
718,automation,2
719,terraform,1
720,ansible,1
721,puppet,1
722,chef,1
723,quantitative and mathematical proficiency,1
724,claims data,1
725,healthcare,1
726,healthcare analytics,1
727,data science analytics networks machine learning tensorflow,1
728,business services general,1
729,r programming,1
730,apache hadoop,1
731,amazon web services,1
732,bigquery,2
733,hadoop - data,1
734,sdlc,1
735,web developer,1
736,datarobot for quick implementation of ai/ml,1
737,large data set organization & analytics,2
738,algorithmic development,2
739,data visualizations & reporting,2
740,automation - machine learning,1
741,pythin,1
742,data analysis - sql server,1
743,see job description,1
744,hdfs,2
745,building predictive models - r,1
746,building predictive models,1
747,sql python etl,1
748,expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1
749,r/python,1
750,data scientists and data analysts with u.s. citizenship required and able to obtain a top secret or secret clearance,1
751,machine learning - data scientist,1
752,direct analytics,1
753,u.s. travel agency,2
754,u.s. airline,2
755,network planning,2
756,yield management,2
757,airline contracting - direct analytics,1
758,airline contracting,1
759,principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1
760,robotics,1
761,hiin analyst,1
762,t-sql,1
763,sprocs,1
764,statistical analysis/modeling,1
765,quantitative analyst,1
766,analytical techniques,1
767,data manipulation/wrangling,1
768,database concepts and sql,1
769,ibm db2 and sql server,1
770,ibm spss and sas tools,1
771,r and/or python,1
772,cfa,1
