id,raw_skills,url
70,"['data science', ' python', ' r', ' java', ' matlab', ' spark', ' mapreduce', ' hive']",https://www.dice.com/jobs/detail/Principal-Data-Scientist-Talener-Boston-MA-02109/10226910/BA1711671010?icid=sr209-7p&q=%22Data+Scientist%22&l=
71,"['analysis', ' analyst', ' architecture', ' database', ' research', ' sas', ' security', ' statistical analysis']",https://www.dice.com/jobs/detail/Data%26%2347Quantitative-Behavioral-Scientist-Leidos-Mclean--/SCNCAPI2/TR%26%2345662298?icid=sr397-14p&q=%22Data+Scientist%22&l=
72,"['data science', ' r', ' python - data science', ' r', ' python']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-CyberCoders-Indianapolis-IN-46201/cybercod/GK2%26%234514865221?icid=sr217-8p&q=%22Data+Scientist%22&l=
73,"['automated', ' environmental', ' genetics', ' modeling', ' programming', ' project', ' python', ' qa', ' scientific', ' scripts']",https://www.dice.com/jobs/detail/DATA-SCIENTIST-%26%2345-INTERMEDIATE-The-Judge-Group-Creve-Coeur-MO-63141/cxjudgpa/581650?icid=sr303-11p&q=%22Data+Scientist%22&l=
74,"['java', ' scala', ' aws', ' big data']",https://www.dice.com/jobs/detail/Sr.-Java-Full-Stack-Engineer-Corus-Group%2C-LLC-Chicago-Ridge-IL-60415/10351101/188213%26%2345947?icid=sr392-14p&q=%22Data+Scientist%22&l=
75,"['data scientist', ' python', ' predictive model']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Only-Local-to-MN-Javen-Technologies%2C-Inc-Richfield-MN-55423/10334594/DATA_SCIENTIST?icid=sr322-11p&q=%22Data+Scientist%22&l=
76,"['data science', ' python', ' scikit.learn', ' virtual environments', ' bayesian inference', ' machine learning algorithms', ' prior teaching experience (not essential) - data science', ' python', ' scikit.learn', ' virtual environments', ' bayesian inference', ' machine learning algorithms', ' prior teaching experience (not essential)']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-CyberCoders-Seattle-WA-98101/cybercod/SJ2%26%2345SDS%26%2345Seattle%26%23451213171?icid=sr233-8p&q=%22Data+Scientist%22&l=
78,"['automated', ' business intelligence', ' development', ' hadoop', ' java', ' modeling', ' physics', ' programming', ' project', ' python', ' research', ' sas', ' sales', ' sql', ' testing']",https://www.dice.com/jobs/detail/Data-Scientist-Quicken-Loans-Inc.-Detroit-MI-48201/10109060/25094?icid=sr16-1p&q=%22Data+Scientist%22&l=
79,"['data scientist', ' bigdata', ' predictive modeling']",https://www.dice.com/jobs/detail/Data-Scientist-Wipro-Ltd.-Bellevue-WA-98004/10110759/618873?icid=sr36-2p&q=%22Data+Scientist%22&l=
80,"['data analytics', ' data scientist']",https://www.dice.com/jobs/detail/FTE%26%2347PERM%3A-Direct-Hire-in-NC%26%2347AR%3A-Immediate-Opening%3A-Data-Analytics-%26%2345-Data-Scientist-%28Audit-Exp.-a-plus%29-U.S.-Tech-Solutions-Inc.-Charlotte-NC-28201/usts/604257?icid=sr363-13p&q=%22Data+Scientist%22&l=
82,"['bi', ' tableau', ' cognos', ' sql server', '']",https://www.dice.com/jobs/detail/BI-Developer%26%2347Data-Scientist-ESHA-CORP-IT-New-York-City-NY-10001/91001914/644019?icid=sr300-10p&q=%22Data+Scientist%22&l=
83,['5+ years of experience in a similar role and experience in web attribution analytics.'],https://www.dice.com/jobs/detail/Sr-Data-Scientist-Britech-Group%2C-Inc.-Carlsbad-CA-92011/10118384/Req%26%23451433?icid=sr219-8p&q=%22Data+Scientist%22&l=
84,"['algorithms', ' analysis', ' analyst', ' api', ' artificial intelligence', ' automated', ' case', ' c++', ' crm', ' database', ' data mining', ' data warehouse', ' development', ' java', ' libraries', ' management', ' metrics', ' networks', ' python', ' research', ' sas', ' sales', ' security', ' simulation', ' statistical analysis']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-World-Fuel-Services-Corporation---/10187433/R3807?icid=sr165-6p&q=%22Data+Scientist%22&l=
85,['data scientist data pipeline modeling data engineer r sas python spark machine learning'],https://www.dice.com/jobs/detail/Data-Scientist-IRIS-Software%2C-Inc.-Roseland-NJ-07068/irissoft/ADDSRNJ?icid=sr103-4p&q=%22Data+Scientist%22&l=
86,"['.net', ' algorithms', ' analysis', ' asp', ' asp.net', ' automated', ' c#', ' css', ' data analysis', ' database', ' data collection', ' development', ' jquery', ' management', ' mathematical', ' modeling', ' oracle', ' programming', ' python', ' sas', ' security', ' ups', ' validation']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Expert-Leidos-Bethesda--/SCNCAPI2/TR%26%2345662835?icid=sr168-6p&q=%22Data+Scientist%22&l=
87,"['data-science', ' analytics', ' machine-learning', ' life-sciences', ' programming', ' algorithms', ' visualization', ' predictive-analytics', ' modeling-and-simulation', ' bayesian-statistics', ' artificial-intelligence']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-Tessella-Inc.-Collegeville-PA-19426/RTX1580e0/636292?icid=sr158-6p&q=%22Data+Scientist%22&l=
88,['data scientist'],https://www.dice.com/jobs/detail/Data-Scientist-BHJOB11946_342576-Addison-Group-Houston-TX-77042/10114130/634114?icid=sr194-7p&q=%22Data+Scientist%22&l=
89,"['sas', ' python', ' r', ' statistics']",https://www.dice.com/jobs/detail/Sr.-Data-Scientist-ANALYTICA-Washington-DC-20036/10370554/636193?icid=sr236-8p&q=%22Data+Scientist%22&l=
90,"['machine learning', ' data science', ' r', ' python']",https://www.dice.com/jobs/detail/Data-Scientist-GSPANN-Technologies-San-Francisco-CA-94102/10200091/030918?icid=sr143-5p&q=%22Data+Scientist%22&l=
91,"['sas programming', ' sas/stat', ' sas enterprise miner']",https://www.dice.com/jobs/detail/Data-Scientist-%28SAS-Programmer%29-%26%2345-Part-Time-Seacoast-Banking-Stuart-FL-34994/91088976/654010?icid=sr362-13p&q=%22Data+Scientist%22&l=
93,"['data science', ' r', ' sql', ' python', ' nlp - data science', ' r', ' sql', ' python', ' nlp']",https://www.dice.com/jobs/detail/Data-Scientist-CyberCoders-Greensboro-NC-27395/cybercod/JW1%26%234514856931?icid=sr63-3p&q=%22Data+Scientist%22&l=
94,"['hdfs/ hive/ impala', ' network/ security', ' development(java)', ' bi']",https://www.dice.com/jobs/detail/Sr.-Developer-%28HDFS%26%2347-Hive%26%2347-Impala%2CJava%2C-BI-%29-%28Local-to-IL-Only%29-Advantech-Solutions%2C-Inc.-Waukegan-IL-60085/adtechil/ab%26%23453095?icid=sr407-14p&q=%22Data+Scientist%22&l=
95,"['data scientist', ' insurance']",https://www.dice.com/jobs/detail/Lead-Data-Scientist-Intelletec-LLC-New-York-NY-10001/90907234/651237?icid=sr182-7p&q=%22Data+Scientist%22&l=
97,"['algorithms', ' analysis', ' data analysis', ' data mining', ' foundation', ' genetic', ' metrics', ' python']",https://www.dice.com/jobs/detail/Data-Scientist-DST-Systems%2C-Inc-Kansas-City-MO-64101/RTX191607/R237243?icid=sr26-1p&q=%22Data+Scientist%22&l=
98,"['data science', ' python', ' sql', ' nlp - data science', ' python', ' sql', ' nlp']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-CyberCoders-San-Francisco-CA-94101/cybercod/JG8%26%234514882841?icid=sr223-8p&q=%22Data+Scientist%22&l=
101,"['data scientist', ' machine learning', ' nlp', ' deep learning', ' python', ' julia', ' r', ' hadoop', ' spark', ' ai - data scientist', ' machine learning', ' nlp', ' deep learning', ' python', ' julia', ' r', ' hadoop', ' spark', ' ai']",https://www.dice.com/jobs/detail/Lead-Data-Scientist-CyberCoders-Pleasanton-CA-94566/cybercod/RH1%26%234514820521?icid=sr186-7p&q=%22Data+Scientist%22&l=
102,"['data science', ' statistics', ' machine learning']",https://www.dice.com/jobs/detail/Data-Scientist-IT%26%2345SCIENT-Atlanta-GA-30339/10214351/659672?icid=sr146-5p&q=%22Data+Scientist%22&l=
103,"['at least 2 to 4 years professional experience in nlp', ' ai/ml', ' jquery/javascript programming (including scripting / coding)', ' sql and relational databases', ' and application development']",https://www.dice.com/jobs/detail/Data-Scientist%26%2347Machine-Learning-Consultant-Techstar-Consulting-Inc.-Spring-Valley-NY-10977/10201253/sampath_dsml?icid=sr330-11p&q=%22Data+Scientist%22&l=
104,"['python', ' scala', ' r']",https://www.dice.com/jobs/detail/NLP-Data-Scientist-xScion-Solutions-Rockville-MD-20847/10124587/502945?icid=sr258-9p&q=%22Data+Scientist%22&l=
105,"['ruby on rails / ror / ruby / rails', ' sql', ' javascript', ' postgresql', ' aws', ' rest', ' soap - ruby on rails / ror / ruby / rails', ' sql', ' javascript', ' postgresql', ' aws', ' rest', ' soap']",https://www.dice.com/jobs/detail/Senior-Ruby-Developer-%28JavaScript%2C-SQL%2C-AWS%29-CyberCoders-San-Luis-Obispo-CA-93401/cybercod/DM7%26%234514481761?icid=sr401-14p&q=%22Data+Scientist%22&l=
106,"['machine learning python sql / nosql databases', ' elasticsearch']",https://www.dice.com/jobs/detail/Data-Scientist-Grid-Dynamics-International%2C-Inc.-Milpitas-CA-95035/RTX145791/GD1920?icid=sr5-1p&q=%22Data+Scientist%22&l=
107,"['python', ' r', ' analytics', ' predictive analytics']",https://www.dice.com/jobs/detail/Data-Scientist-Eliassen-Group-Atlanta-GA-30328/10444409/635729?icid=sr57-2p&q=%22Data+Scientist%22&l=
108,"['r/python programming', ' spark', ' h2o or azure ml', ' statistics']",https://www.dice.com/jobs/detail/Sr.-Data-Scientist-9to9-Software-Solutions-LLC-Redmond-WA-98052/90573793/631170?icid=sr189-7p&q=%22Data+Scientist%22&l=
109,"['api', ' database', ' ibm', ' java', ' oracle', ' python', ' research', ' teradata']",https://www.dice.com/jobs/detail/DATA-SCIENTIST-%26%2345-SENIOR-The-Judge-Group-Ladue-MO-63124/cxjudgpa/584954?icid=sr254-9p&q=%22Data+Scientist%22&l=
110,"['python', ' pandas', ' numpy', ' scipy', ' scikit-learn', ' go']",https://www.dice.com/jobs/detail/Lead-ML-Engineer-Red-Spark-Philadelphia-PA-19104/90933486/630971?icid=sr393-14p&q=%22Data+Scientist%22&l=
111,"['algorithms', ' analysis', ' automated', ' business requirements', ' data analysis', ' database', ' data mining', ' db2', ' development', ' management', ' mathematical', ' metrics', ' modeling', ' mysql', ' mysql', ' oracle', ' research', ' sap', ' sas', ' sql', ' sql server', ' teradata', ' testing']",https://www.dice.com/jobs/detail/Data-Scientist-III-The-Judge-Group-Rancho-Cordova-CA-95655/cxjudgpa/585653?icid=sr225-8p&q=%22Data+Scientist%22&l=
