skill,count,clean_skill,skill_group
saas,1,,
sagemaker,1,,
sales,8,,
sales or product development function) within a data driven organization,1,,
salesforce marketing suite,2,,
sap,3,,
sap isu,1,,
sas,47,,
sas enterprise miner,2,,
sas or pytho,1,,
sas or python,1,,
sas programming,2,,
sas/stat,2,,
scala,17,,
scala or c++),1,,
scala or javaexperience driving research and early stage projects to production implementationcreative approach to problem solving and using leading edge tools to build innovative solutionsteam player with strong desire to learn,1,,
scalanltk,1,,
scheduling,1,,
scientific,10,,
scientist,2,,
scikit,3,,
scikit-learn,2,,
scikit-learn data visualization (matplotlib,1,,
scikit.learn,2,,
scipy,6,,
scipy & pandas),1,,
scripts,11,,
scrum,6,,
sdlc,1,,
seaborn,1,,
security,27,,
see job description,1,,
semi-supervised (label propagation),1,,
senior  data scientist  with phd,1,,
senior data scientist,1,,
senior manager,1,,
sgml,1,,
share knowledge and build a world class security platform,1,,
shell scripting,5,,
simulation,8,,
simulation development and/or predictive analytics,1,,
sklearn,1,,
slq,3,,
small business,1,,
sme in statistics,1,,
snowflake,1,,
soap,3,,
soap - ruby on rails,1,,
soap - ruby on rails / ror / ruby / rails,1,,
software,2,,
software development,1,,
software engineer,7,,
software engineer - data engineer - sql,1,,
solr,4,,
solutions implementation,1,,
sosql,1,,
spacy,2,,
spark,37,,
spark - big data,1,,
spark - machine learning,1,,
spark or alteryx,1,,
sparks,1,,
spend analysis,1,,
splunk,1,,
sprocs,1,,
spss,5,,
spss or even r,1,,
sql,124,,
sql - full stack,1,,
sql (oracle,1,,
sql and data visualization software,1,,
sql and relational databases,1,,
sql data engineer,1,,
sql python etl,1,,
sql server,16,,
sql server; unix; x12; epic; cigo; caboodle,1,,
sql tableau marketing analysis,1,,
sr data scientist,1,,
ssps modeler experience,2,,
stanford,1,,
stanford corenlp,1,,
stata,2,,
statistical analysis,24,,
statistical analysis and data driven insights,1,,
statistical analysis/modeling,1,,
statistical computer language,1,,
statistical diagnostics of models,4,,
statistical modelers,2,,
statistical modeling,5,,
statistical regression,4,,
statistical testing,1,,
statistical/machine learning algorithms,1,,
statistical/machine learning algorithms - machine learning,1,,
statistics,26,,
statistics or data mining disciplines5+ years experience as a data scientist (or equivalent role) applying statistical models,1,,
statistics or data modeling,1,,
statistics/data modeling,1,,
stats,1,,
stochastic simulation,1,,
strategic planning,1,,
strategy,1,,
structured,2,,
structured and unstructured data,1,,
such as k-nn,1,,
supervision,4,,
supplier campaign tracking,1,,
supply chain,5,,
supply chain forecasting,1,,
supply chain management,2,,
svm,1,,
sybase,1,,
systems,1,,
t-sql,1,,
tableau,16,,
tableau - python,2,,
tableau/ raw /chart.js/data visualization,1,,
tableu,1,,
tdd,3,,
teaching technical concepts,1,,
teaching technical concepts - data science,1,,
team setting (including git & unit testing),1,,
telecom,1,,
telecommunications,1,,
tensor flow,1,,
tensorflow,19,,
teradata,10,,
terraform,1,,
test,1,,
test ng/selenium,1,,
test plan,1,,
testing,29,,
tibco,1,,
transformation,1,,
trend analysis,1,,
typescript,1,,
u.s. airline,2,,
u.s. travel agency,2,,
underwriting,2,,
unix,9,,
unsupervised (clustering),1,,
ups,6,,
user interface,1,,
ux,1,,
validation,7,,
vba,3,,
version control,2,,
vertica,1,,
virtual environments,2,,
visual basic,2,,
visualization,5,,
watson,1,,
watson data studio,1,,
watson discovery,1,,
web developer,1,,
windows,2,,
wireless,3,,
with thorough knowledge of business intelligence and analytics,1,Business Intelligence,
with thorough knowledge of business intelligence and analytics,1,Data Analysis,
wps or spss or python prefer: sql server,1,WPS,
wps or spss or python prefer: sql server,1,SPSS,
wps or spss or python prefer: sql server,1,Python,
wps or spss or python prefer: sql server,1,SQL Server,
wrangle,1,Data Manipulation,
xgboost,2,XGBoost,
xgboot,1,,
xml,2,,
xslt,1,,
yield management,2,,
,42,,
