skill,count,clean_skill,skill_group
anaconda - python,1,Python,Programming Language
analysis,76,Data Analysis,
analysis service (ssas),1,Data Analysis,
analyst,17,,
analytical,3,Data Analysis,
analytical skills,4,Data Analysis,
analytical techniques,1,Data Analysis,
analytics,12,Data Analysis,
and application development,1,Application Development,
and behavioral modeling and simulation for bfs/retail,1,Behavioral Modeling,
and behavioral modeling and simulation for bfs/retail,1,Simulation,
and behavioral modeling and simulation for bfs/retail,1,Retail,Domain Expertise
and scala,1,Scala,Programming Language
and supervised algorithms.,1,Algorithm,
and/or business strategy developm,1,Strategy,Soft Skill
android,2,Android,Platform
ansible,1,Ansible,
apache,6,Apache,
apache hadoop,1,Hadoop,
apache spark,5,Spark,
apache spark - python,2,Spark,
apache spark - python,2,Python,
apache spark or kubernetes or hortonworks or hadoop,1,Spark,
apache spark or kubernetes or hortonworks or hadoop,1,Kubernetes,
apache spark or kubernetes or hortonworks or hadoop,1,Hortonworks,
apache spark or kubernetes or hortonworks or hadoop,1,Hadoop,
apache zeppelin,1,Zeppelin,
api,8,API,
applied mathematics,1,Applied Mathematics,Domain Expertise
applied research,3,Data Analysis,
architect,1,Architecture,
architecture,20,Architecture,
artificial intelligence,24,Artificial Intelligence,
artificial-intelligence,1,Artificial Intelligence,
asp,4,ASP,
asp.net,4,ASP,
asp.net,4,.NET,
asset mgmt/electronic trading,1,Asset Management,
asset mgmt/electronic trading,1,Electronic Trading,
astronomy,1,Astronomy,Domain Expertise
at least 2 to 4 years professional experience in nlp,1,Experience,
at least 2 to 4 years professional experience in nlp,1,Natural Language Processing,
atlassian,1,Atlassian,
automated,22,Automation,
automation,2,Automation,
automation - machine learning,1,Automation,
automation - machine learning,1,Machine Learning,
avionics,2,Avionics,Domain Expertise
aws,17,Amazon Web Services,
aws cloud services: ec2,1,Amazon Web Services,
aws- azure,2,Amazon Web Services,
aws- azure,2,Microsoft Azure,
azure,5,Microsoft Azure,
azure - data science,1,Microsoft Azure,
azure - data science,1,Data Scientist,
azure cloud engineer,1,Microsoft Azure,
azure machine learning,1,Microsoft Azure,
azure machine learning,1,Machine Learning,
azure sql data warehouse,1,Microsoft Azure,
azure sql data warehouse,1,SQL,
azure sql data warehouse,1,Data Warehouse,
backend coding,1,,
bash,1,Bash,
bash/shell,1,Bash,
bayesian hierarchical modeling,4,Bayesian,
bayesian hierarchical modeling,4,Hierarchical Modeling,
bayesian inference,2,Bayesian,
bayesian-statistics,1,Bayesian,
benchmark,1,Benchmark,
bi,2,Business Intelligence,
bi dashboards,1,Business Intelligence,
bi dashboards,1,Dashboards,
bi engineer/data scientist,1,Business Intelligence,
big data,17,Big Data,
big data ecosystem,1,Big Data,
big data management tools i.e. informatica bdm/idl/eic/idq,1,Big Data,
