skill,count,clean_skill,skill_group,Period Table Group
life-sciences,1,Life Science,Domain Expertise,Domain Expertise
digital marketing,1,Marketing,Domain Expertise,Domain Expertise
full funnel analytics - marketing analytics,1,Marketing,Domain Expertise,Domain Expertise
marketing analysis,1,Marketing,Domain Expertise,Domain Expertise
marketing analytics,1,Marketing,Domain Expertise,Domain Expertise
marketing data scientist/analyst,1,Marketing,Domain Expertise,Domain Expertise
marketing technologies,1,Marketing,Domain Expertise,Domain Expertise
operations,1,Operations,Domain Expertise,Domain Expertise
operations - r,1,Operations,Domain Expertise,Domain Expertise
operations analysis,1,Operations,Domain Expertise,Domain Expertise
computational physics,1,Physics,Domain Expertise,Domain Expertise
and behavioral modeling and simulation for bfs/retail,1,Retail,Domain Expertise,Domain Expertise
telecom,1,Telecom,Domain Expertise,Domain Expertise
telecommunications,1,Telecom,Domain Expertise,Domain Expertise
expert level understanding of the umls,1,Unified Medical Language System,Domain Expertise,Domain Expertise
small business,1,Small Business,Domain Expertise,Domain Expertise
robotics,1,Robotics,Domain Expertise,Domain Expertise
agile work environment,1,Agile,Environment,Environment
agile work environment - data mining,1,Agile,Environment,Environment
chef,1,Exclude,Exclude,needs input
comprehend,1,Exclude,Exclude,needs input
full relocation package,1,Exclude,Exclude,needs input
n/a,1,Exclude,Exclude,needs input
or other scripting languages,1,Exclude,Exclude,needs input
rational,1,Exclude,Exclude,needs input
see job description,1,Exclude,Exclude,needs input
sme in statistics,1,Exclude,Exclude,needs input
including distributions,1,Exclude,Exclude,needs input
(machine learning ) and (artificial intelligence ) and (rafa ),1,Artificial Intelligence,General Skill,Machine Learning & Stats
ai - r,1,Artificial Intelligence,General Skill,Machine Learning & Stats
ai & cognitive technology,1,Artificial Intelligence,General Skill,Machine Learning & Stats
ai and ml models,1,Artificial Intelligence,General Skill,Machine Learning & Stats
ai.ml,1,Artificial Intelligence,General Skill,Machine Learning & Stats
ai/ml,1,Artificial Intelligence,General Skill,Machine Learning & Stats
artificial-intelligence,1,Artificial Intelligence,General Skill,Machine Learning & Stats
data science/ai/machine learning,1,Artificial Intelligence,General Skill,Machine Learning & Stats
datarobot for quick implementation of ai/ml,1,Artificial Intelligence,General Skill,Machine Learning & Stats
big data ecosystem,1,Big Data,General Skill,Search & Data Management
big data management tools i.e. informatica bdm/idl/eic/idq,1,Big Data,General Skill,Search & Data Management
big data science,1,Big Data,General Skill,Search & Data Management
big data storage,1,Big Data,General Skill,Search & Data Management
big data/hadoop,1,Big Data,General Skill,Search & Data Management
distributed computing - big data,1,Big Data,General Skill,Search & Data Management
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Big Data,General Skill,Search & Data Management
bi dashboards,1,Business Intelligence,General Skill,Business Intelligence & Reporting
bi engineer/data scientist,1,Business Intelligence,General Skill,Business Intelligence & Reporting
business intelligence engineer iii,1,Business Intelligence,General Skill,Business Intelligence & Reporting
with thorough knowledge of business intelligence and analytics,1,Business Intelligence,General Skill,Business Intelligence & Reporting
computer vision,1,Computer Vision,General Skill,needs input
computer vision or developing software libraries that abstract/encapsulate custom hardware devices.,1,Computer Vision,General Skill,needs input
open source ml & dl frameworks - computer vision,1,Computer Vision,General Skill,needs input
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Data Analysis,General Skill,General Skill
analysis service (ssas),1,Data Analysis,General Skill,General Skill
analytical techniques,1,Data Analysis,General Skill,General Skill
cloud/analytics,1,Data Analysis,General Skill,General Skill
data analysis - sql server,1,Data Analysis,General Skill,General Skill
data mining and statistical analysis,1,Data Analysis,General Skill,General Skill
data science analytics networks machine learning tensorflow,1,Data Analysis,General Skill,General Skill
digital analytics,1,Data Analysis,General Skill,General Skill
direct analytics,1,Data Analysis,General Skill,General Skill
trend analysis,1,Data Analysis,General Skill,General Skill
with thorough knowledge of business intelligence and analytics,1,Data Analysis,General Skill,General Skill
data design,1,Data Design,General Skill,Search & Data Management
creating large datasets,1,Data Engineering,General Skill,Search & Data Management
data management systems,1,Data Management,General Skill,Search & Data Management
data manipulation/wrangling,1,Data Manipulation,General Skill,Search & Data Management
etc.) to manipulate data and draw insights from large data sets.,1,Data Manipulation,General Skill,Search & Data Management
transformation,1,Data Manipulation,General Skill,Search & Data Management
wrangle,1,Data Manipulation,General Skill,Search & Data Management
agile work environment - data mining,1,Data Mining,General Skill,Search & Data Management
data mining and statistical analysis,1,Data Mining,General Skill,Search & Data Management
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,Data Mining,General Skill,Search & Data Management
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Data Modeling,General Skill,Machine Learning & Stats
conceptual and logical data modeling,1,Data Modeling,General Skill,Machine Learning & Stats
data modeling and hypothesis generation,1,Data Modeling,General Skill,Machine Learning & Stats
data modelling,1,Data Modeling,General Skill,Machine Learning & Stats
reporting&etl,1,Extract Transform Load,General Skill,Search & Data Management
etl and big data platforms,1,Extract Transform Load,General Skill,Search & Data Management
etl development,1,Extract Transform Load,General Skill,Search & Data Management
etl tools knowledge is required.,1,Extract Transform Load,General Skill,Search & Data Management
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Extract Transform Load,General Skill,Search & Data Management
mathematical models,1,Mathematics,General Skill,Machine Learning & Stats
1. python 2. nlp 3. deep learning,1,Natural Language Processing,General Skill,Machine Learning & Stats
at least 2 to 4 years professional experience in nlp,1,Natural Language Processing,General Skill,Machine Learning & Stats
natural language,1,Natural Language Processing,General Skill,Machine Learning & Stats
nlp and text analytics,1,Natural Language Processing,General Skill,Machine Learning & Stats
nlp(natural language processing) git r matlab,1,Natural Language Processing,General Skill,Machine Learning & Stats
nltk,1,Natural Language Processing,General Skill,Machine Learning & Stats
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Predictive Analytics/Models,General Skill,Machine Learning & Stats
predictive modelling,1,Predictive Analytics/Models,General Skill,Machine Learning & Stats
predictive-analytics,1,Predictive Analytics/Models,General Skill,Machine Learning & Stats
simulation development and/or predictive analytics,1,Predictive Analytics/Models,General Skill,Machine Learning & Stats
building predictive models,1,Predictive Analytics/Models,General Skill,Machine Learning & Stats
building predictive models - r,1,Predictive Analytics/Models,General Skill,Machine Learning & Stats
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Price Optimization,General Skill,Machine Learning & Stats
quantitative business problem solving,1,Problem Solving,General Skill,Machine Learning & Stats
quantitative analyst,1,Quantitative Analysis/Modeling,General Skill,Machine Learning & Stats
quantitative researcher-equities,1,Quantitative Analysis/Modeling,General Skill,Machine Learning & Stats
deep learning and machine learning and research and statistical models and (python,1,Research,General Skill,General Skill
and behavioral modeling and simulation for bfs/retail,1,Simulation,General Skill,Machine Learning & Stats
simulation development and/or predictive analytics,1,Simulation,General Skill,Machine Learning & Stats
stochastic simulation,1,Simulation,General Skill,Machine Learning & Stats
knowledge of a variety of machine learning and statistical modeling techniques in a business setting,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
machine learning and statistical modeling techniques,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
machine learning and tensorflow and statistical model,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
business analyst data scientist r python jira github tableau powerbi statistics,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
data science; statistics,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
data scientist machine learning statistical modeling database data python r cloud,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
data scientist machine learning statistics r python c# java scala,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
deep learning and machine learning and research and statistical models and (python,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
o advanced applied statistics skills,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistical analysis and data driven insights,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistical analysis/modeling,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistical computer language,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistical testing,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistical/machine learning algorithms,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistical/machine learning algorithms - machine learning,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistics or data mining disciplines5+ years experience as a data scientist (or equivalent role) applying statistical models,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistics or data modeling,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
statistics/data modeling,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
stats,1,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1,Visualization,General Skill,Data Visualization & Reporting
algorithms - machine learning,1,Algorithm,Machine Learning,Machine Learning & Stats
clustering,1,Clustering,Machine Learning,Machine Learning & Stats
cnn,1,CNN,Machine Learning,Machine Learning & Stats
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,DataRobot,Machine Learning,Machine Learning & Stats
datarobot,1,DataRobot,Machine Learning,Machine Learning & Stats
datarobot for quick implementation of ai/ml,1,DataRobot,Machine Learning,Machine Learning & Stats
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Decision Tree,Machine Learning,Machine Learning & Stats
1. python 2. nlp 3. deep learning,1,Deep Learning,Machine Learning,Machine Learning & Stats
deep learning and machine learning and research and statistical models and (python,1,Deep Learning,Machine Learning,Machine Learning & Stats
semi-supervised (label propagation),1,Labeling,Machine Learning,Machine Learning & Stats
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Machine Learning,Machine Learning,Machine Learning & Stats
(machine learning ) and (artificial intelligence ) and (rafa ),1,Machine Learning,Machine Learning,Machine Learning & Stats
ai and ml models,1,Machine Learning,Machine Learning,Machine Learning & Stats
ai.ml,1,Machine Learning,Machine Learning,Machine Learning & Stats
ai/ml,1,Machine Learning,Machine Learning,Machine Learning & Stats
algorithms - machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
automation - machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
azure machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
data science analytics networks machine learning tensorflow,1,Machine Learning,Machine Learning,Machine Learning & Stats
data science/ai/machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
data scientist machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
data scientist machine learning statistical modeling database data python r cloud,1,Machine Learning,Machine Learning,Machine Learning & Stats
data scientist machine learning statistics r python c# java scala,1,Machine Learning,Machine Learning,Machine Learning & Stats
datarobot for quick implementation of ai/ml,1,Machine Learning,Machine Learning,Machine Learning & Stats
deep learning and machine learning and research and statistical models and (python,1,Machine Learning,Machine Learning,Machine Learning & Stats
experience with machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
h2o or azure ml,1,Machine Learning,Machine Learning,Machine Learning & Stats
knowledge of a variety of machine learning and statistical modeling techniques in a business setting,1,Machine Learning,Machine Learning,Machine Learning & Stats
mach,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine leaning,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning - data scientist,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning - dynamic pricing,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning - python,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning (aml)python,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning (ml),1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning and statistical modeling techniques,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning and supervised machine learning to cybersecurity or fraud detectionworking knowledge of security detection tools,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning and tensorflow and statistical model,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning jda software,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning python sql / nosql databases,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning tools like spark mlib,1,Machine Learning,Machine Learning,Machine Learning & Stats
machine learning/data science/data scientist,1,Machine Learning,Machine Learning,Machine Learning & Stats
masters degree with 5 years of experience in creating machine learning pipelines,1,Machine Learning,Machine Learning,Machine Learning & Stats
modeling - python,1,Machine Learning,Machine Learning,Machine Learning & Stats
modeling-and-simulation,1,Machine Learning,Machine Learning,Machine Learning & Stats
neural,1,Machine Learning,Machine Learning,Machine Learning & Stats
neural network.,1,Machine Learning,Machine Learning,Machine Learning & Stats
neuro networks,1,Machine Learning,Machine Learning,Machine Learning & Stats
open source ml & dl frameworks,1,Machine Learning,Machine Learning,Machine Learning & Stats
open source ml & dl frameworks - computer vision,1,Machine Learning,Machine Learning,Machine Learning & Stats
or python and experience with languages/ frameworks used in ml & analytics: spark,1,Machine Learning,Machine Learning,Machine Learning & Stats
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Machine Learning,Machine Learning,Machine Learning & Stats
python - machine learning,1,Machine Learning,Machine Learning,Machine Learning & Stats
python software developer background; ml; data science; system programming; webservices,1,Machine Learning,Machine Learning,Machine Learning & Stats
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,Machine Learning,Machine Learning,Machine Learning & Stats
random forest,1,Machine Learning,Machine Learning,Machine Learning & Stats
random forests,1,Machine Learning,Machine Learning,Machine Learning & Stats
such as k-nn,1,Machine Learning,Machine Learning,Machine Learning & Stats
unsupervised (clustering),1,Machine Learning,Machine Learning,Machine Learning & Stats
mahout,1,Mahout,Machine Learning,Machine Learning & Stats
mllib,1,MLlib,Machine Learning,Machine Learning & Stats
naive bayes classifier,1,Naive Bayes Classifier,Machine Learning,Machine Learning & Stats
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Neural Networks,Machine Learning,Machine Learning & Stats
numerical optimization,1,Numerical Optimization,Mathematical ,Machine Learning & Stats
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Generalized Linear Model,Mathematical ,Machine Learning & Stats
cisco,1,Cisco,Network,Search & Data Management
anaconda,1,Anaconda,Platform,Programming Languages & Distributions
anaconda - python,1,Anaconda,Platform,Programming Languages & Distributions
modeanalytics,1,Mode Analytics,Platform,Data Visualization & Reporting
business analyst,1,Business Analyst,Position,Position
business analyst and data and sql,1,Business Analyst,Position,Position
business analyst data scientist r python jira github tableau powerbi statistics,1,Business Analyst,Position,Position
chief data scientist,1,Chief Data Scientist,Position,Position
data analyst and capacity and visualization and sql and azure,1,Data Analyst,Position,Position
data scientists and data analysts with u.s. citizenship required and able to obtain a top secret or secret clearance,1,Data Analyst,Position,Position
data architect - r,1,Data Architect,Position,Position
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Data Engineer,Position,Position
software engineer - data engineer - sql,1,Data Engineer,Position,Position
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Data Scientist,Position,Position
azure - data science,1,Data Scientist,Position,Position
business analyst data scientist r python jira github tableau powerbi statistics,1,Data Scientist,Position,Position
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Data Scientist,Position,Position
data scientist level 1 experience with data sets,1,Data Scientist,Position,Position
data scientist machine learning,1,Data Scientist,Position,Position
data scientist machine learning statistical modeling database data python r cloud,1,Data Scientist,Position,Position
data scientist machine learning statistics r python c# java scala,1,Data Scientist,Position,Position
data scientists and data analysts with u.s. citizenship required and able to obtain a top secret or secret clearance,1,Data Scientist,Position,Position
machine learning - data scientist,1,Data Scientist,Position,Position
machine learning/data science/data scientist,1,Data Scientist,Position,Position
marketing data scientist/analyst,1,Data Scientist,Position,Position
dba,1,Database Administrator,Position,Position
business intelligence engineer iii,1,Engineer,Position,Position
engineer,1,Engineer,Position,Position
enterprise architect,1,Enterprise Architect,Position,Position
hiin analyst,1,Hospital Improvement Innovation Network Analyst,Position,Position
jr data scientist,1,Jr. Data Scientist,Position,Position
lead data scientist - high growth startup - nyc - 160k+,1,Lead Data Scientist,Position,Position
master data management analyst,1,Master Data Management Analyst,Position,Position
mdm,1,Master Data Management Analyst,Position,Position
mdm analyst,1,Master Data Management Analyst,Position,Position
senior data scientist with phd,1,Senior Data Scientist,Position,Position
senior data scientist,1,Senior Data Scientist,Position,Position
sr data scientist,1,Senior Data Scientist,Position,Position
senior manager,1,Senior Manager,Position,Position
programmer,1,Software Developer,Position,Position
python software developer background; ml; data science; system programming; webservices,1,Software Developer,Position,Position
software engineer - data engineer - sql,1,Software Engineer,Position,Position
web developer,1,Web Developer,Position,Position
c/c++,1,C,Programming Language,Programming Languages & Distributions
c/c++ - data scientist,1,C,Programming Language,Programming Languages & Distributions
data scientist machine learning statistics r python c# java scala,1,C#,Programming Language,Programming Languages & Distributions
python/java/c#,1,C#,Programming Language,Programming Languages & Distributions
c/c++,1,C++,Programming Language,Programming Languages & Distributions
c/c++ - data scientist,1,C++,Programming Language,Programming Languages & Distributions
java or c++,1,C++,Programming Language,Programming Languages & Distributions
scala or c++),1,C++,Programming Language,Programming Languages & Distributions
caffe,1,Caffe,Programming Language,Programming Languages & Distributions
cgi,1,CGI,Programming Language,Programming Languages & Distributions
golang - spark,1,Go,Programming Language,Programming Languages & Distributions
celery - java,1,Java,Programming Language,Programming Languages & Distributions
data scientist machine learning statistics r python c# java scala,1,Java,Programming Language,Programming Languages & Distributions
development(java),1,Java,Programming Language,Programming Languages & Distributions
java or c++,1,Java,Programming Language,Programming Languages & Distributions
one modern programming language: java,1,Java,Programming Language,Programming Languages & Distributions
python/java/c#,1,Java,Programming Language,Programming Languages & Distributions
scala or javaexperience driving research and early stage projects to production implementationcreative approach to problem solving and using leading edge tools to build innovative solutionsteam player with strong desire to learn,1,Java,Programming Language,Programming Languages & Distributions
jquery/javascript programming (including scripting / coding),1,jQuery,Programming Language,Programming Languages & Distributions
node,1,Node.js,Programming Language,Programming Languages & Distributions
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Python,Programming Language,Programming Languages & Distributions
1. python 2. nlp 3. deep learning,1,Python,Programming Language,Programming Languages & Distributions
3+ years experience doing data science with r and python in a professional,1,Python,Programming Language,Programming Languages & Distributions
anaconda - python,1,Python,Programming Language,Programming Languages & Distributions
business analyst data scientist r python jira github tableau powerbi statistics,1,Python,Programming Language,Programming Languages & Distributions
crm - python,1,Python,Programming Language,Programming Languages & Distributions
data science - python,1,Python,Programming Language,Programming Languages & Distributions
data science and implementations in python,1,Python,Programming Language,Programming Languages & Distributions
data science python,1,Python,Programming Language,Programming Languages & Distributions
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Python,Programming Language,Programming Languages & Distributions
data scientist machine learning statistical modeling database data python r cloud,1,Python,Programming Language,Programming Languages & Distributions
data scientist machine learning statistics r python c# java scala,1,Python,Programming Language,Programming Languages & Distributions
deep learning and machine learning and research and statistical models and (python,1,Python,Programming Language,Programming Languages & Distributions
image analytics - python,1,Python,Programming Language,Programming Languages & Distributions
including python,1,Python,Programming Language,Programming Languages & Distributions
machine learning - python,1,Python,Programming Language,Programming Languages & Distributions
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Python,Programming Language,Programming Languages & Distributions
machine learning (aml)python,1,Python,Programming Language,Programming Languages & Distributions
machine learning python sql / nosql databases,1,Python,Programming Language,Programming Languages & Distributions
modeling - python,1,Python,Programming Language,Programming Languages & Distributions
must have skills: data science python sas,1,Python,Programming Language,Programming Languages & Distributions
or python and experience with languages/ frameworks used in ml & analytics: spark,1,Python,Programming Language,Programming Languages & Distributions
pig - python,1,Python,Programming Language,Programming Languages & Distributions
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Python,Programming Language,Programming Languages & Distributions
python - aws,1,Python,Programming Language,Programming Languages & Distributions
python - data science,1,Python,Programming Language,Programming Languages & Distributions
python - machine learning,1,Python,Programming Language,Programming Languages & Distributions
python (including numpy,1,Python,Programming Language,Programming Languages & Distributions
python and (,1,Python,Programming Language,Programming Languages & Distributions
python r scala sql,1,Python,Programming Language,Programming Languages & Distributions
python software developer background; ml; data science; system programming; webservices,1,Python,Programming Language,Programming Languages & Distributions
python.,1,Python,Programming Language,Programming Languages & Distributions
python/java/c#,1,Python,Programming Language,Programming Languages & Distributions
python/r,1,Python,Programming Language,Programming Languages & Distributions
python/r/sas,1,Python,Programming Language,Programming Languages & Distributions
pyton,1,Python,Programming Language,Programming Languages & Distributions
r and/or python,1,Python,Programming Language,Programming Languages & Distributions
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,Python,Programming Language,Programming Languages & Distributions
r/python,1,Python,Programming Language,Programming Languages & Distributions
r/python programming,1,Python,Programming Language,Programming Languages & Distributions
rdbms - python,1,Python,Programming Language,Programming Languages & Distributions
sas or pytho,1,Python,Programming Language,Programming Languages & Distributions
sas or python,1,Python,Programming Language,Programming Languages & Distributions
wps or spss or python prefer: sql server,1,Python,Programming Language,Programming Languages & Distributions
pytorch,1,PyTorch,Programming Language,Programming Languages & Distributions
3+ years experience doing data science with r and python in a professional,1,R,Programming Language,Programming Languages & Distributions
ai - r,1,R,Programming Language,Programming Languages & Distributions
biostatistics - r,1,R,Programming Language,Programming Languages & Distributions
building predictive models - r,1,R,Programming Language,Programming Languages & Distributions
business analyst data scientist r python jira github tableau powerbi statistics,1,R,Programming Language,Programming Languages & Distributions
data architect - r,1,R,Programming Language,Programming Languages & Distributions
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,R,Programming Language,Programming Languages & Distributions
data scientist machine learning statistical modeling database data python r cloud,1,R,Programming Language,Programming Languages & Distributions
data scientist machine learning statistics r python c# java scala,1,R,Programming Language,Programming Languages & Distributions
experience using statistical computer languages (r,1,R,Programming Language,Programming Languages & Distributions
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,R,Programming Language,Programming Languages & Distributions
operations - r,1,R,Programming Language,Programming Languages & Distributions
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,R,Programming Language,Programming Languages & Distributions
python r scala sql,1,R,Programming Language,Programming Languages & Distributions
python/r,1,R,Programming Language,Programming Languages & Distributions
python/r/sas,1,R,Programming Language,Programming Languages & Distributions
r and/or python,1,R,Programming Language,Programming Languages & Distributions
r etc.,1,R,Programming Language,Programming Languages & Distributions
r programming,1,R,Programming Language,Programming Languages & Distributions
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,R,Programming Language,Programming Languages & Distributions
r/python,1,R,Programming Language,Programming Languages & Distributions
r/python programming,1,R,Programming Language,Programming Languages & Distributions
ruby on rails,1,Ruby,Programming Language,Programming Languages & Distributions
ruby on rails / ror / ruby / rails,1,Ruby,Programming Language,Programming Languages & Distributions
soap - ruby on rails,1,Ruby,Programming Language,Programming Languages & Distributions
soap - ruby on rails / ror / ruby / rails,1,Ruby,Programming Language,Programming Languages & Distributions
soap - ruby on rails / ror / ruby / rails,1,Ruby,Programming Language,Programming Languages & Distributions
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,SAS,Programming Language,Programming Languages & Distributions
ibm spss and sas tools,1,SAS,Programming Language,Programming Languages & Distributions
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,SAS,Programming Language,Programming Languages & Distributions
must have skills: data science python sas,1,SAS,Programming Language,Programming Languages & Distributions
python/r/sas,1,SAS,Programming Language,Programming Languages & Distributions
sas or pytho,1,SAS,Programming Language,Programming Languages & Distributions
sas or python,1,SAS,Programming Language,Programming Languages & Distributions
and scala,1,Scala,Programming Language,Programming Languages & Distributions
data scientist machine learning statistics r python c# java scala,1,Scala,Programming Language,Programming Languages & Distributions
python r scala sql,1,Scala,Programming Language,Programming Languages & Distributions
scala or c++),1,Scala,Programming Language,Programming Languages & Distributions
scala or javaexperience driving research and early stage projects to production implementationcreative approach to problem solving and using leading edge tools to build innovative solutionsteam player with strong desire to learn,1,Scala,Programming Language,Programming Languages & Distributions
scalanltk,1,Scala,Programming Language,Programming Languages & Distributions
ibm spss and sas tools,1,SPSS,Programming Language,Programming Languages & Distributions
spss or even r,1,SPSS,Programming Language,Programming Languages & Distributions
wps or spss or python prefer: sql server,1,SPSS,Programming Language,Programming Languages & Distributions
mathematica,1,Mathematica,Programming Language (Math/Stat),Machine Learning & Stats
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,MATLAB,Programming Language (Math/Stat),Programming Languages & Distributions
bitbucket,1,BitBucket,Programming Tool,Collaboration
team setting (including git & unit testing),1,Git,Programming Tool,Collaboration
business analyst data scientist r python jira github tableau powerbi statistics,1,GitHub,Programming Tool,Collaboration
r studio,1,R Studio,Programming Tool,Collaboration
rapidminer,1,RapidMiner,Programming Tool,Machine Learning & Stats
bash,1,Bash,Scripting,Programming Languages & Distributions
bash/shell,1,Bash,Scripting,Programming Languages & Distributions
change management,1,Change Management,Soft Skill,Soft Skill
ad hoc reporting,1,Communication,Soft Skill,Soft Skill
erp,1,Enterprise Resource Planing,Soft Skill,Soft Skill
9+ years of demonstrated experience leading teams,1,Leadership,Soft Skill,Soft Skill
administration,1,Leadership,Soft Skill,Soft Skill
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Onboarding,Soft Skill,Soft Skill
organization transformation,1,Organization Transformation,Soft Skill,Soft Skill
qa,1,Quality Assurance,Soft Skill,Soft Skill
quality,1,Quality Assurance,Soft Skill,Soft Skill
quality assurance,1,Quality Assurance,Soft Skill,Soft Skill
solutions implementation,1,Solutions Implementation,Soft Skill,Soft Skill
and/or business strategy developm,1,Strategy,Soft Skill,Soft Skill
strategic planning,1,Strategy,Soft Skill,Soft Skill
strategy,1,Strategy,Soft Skill,Soft Skill
prior teaching experience (not essential),1,Teaching,Soft Skill,Soft Skill
prior teaching experience (not essential) - data science,1,Teaching,Soft Skill,Soft Skill
teaching technical concepts,1,Teaching,Soft Skill,Soft Skill
teaching technical concepts - data science,1,Teaching,Soft Skill,Soft Skill
adobe,1,Adobe,Software,Data Visualization & Reporting
bayesian-statistics,1,Bayesian,Statistical,Machine Learning & Stats
logistic regression,1,Logistic Regression,Statistics,Machine Learning & Stats
docker,1,Docker,Virtualization,Virtualization
bi dashboards,1,Dashboards,Visualization,Data Visualization & Reporting
scikit-learn data visualization (matplotlib,1,Matplotlib,Visualization,Data Visualization & Reporting
qlikview,1,Qlikview,Visualization,Data Visualization & Reporting
business analyst data scientist r python jira github tableau powerbi statistics,1,Tableau,Visualization,Data Visualization & Reporting
etc) and analysis tools ( tableau,1,Tableau,Visualization,Data Visualization & Reporting
