skill,count,clean_skill,skill_group,Period Table Group
data analyst,3,Data Analyst,Position,Position
data engineer,3,Data Engineer,Position,Position
go,3,Go,Programming Language,Programming Languages & Distributions
node.js,3,Node.js,Programming Language,Programming Languages & Distributions
vba,3,Visual Basic,Programming Languauge,Programming Languages & Distributions
critical thinking,3,Critical Thinking,Soft Skill,Soft Skill
elasticsearch,3,Elasticsearch,Search tools,Search & Data Management
image processing,3,Image Analytics,AI,Machine Learning & Stats
information retrieval,3,Information Retrieval,Database Technology,Search & Data Management
it,3,IT,,Search & Data Management
sap,3,SAP,Database Technology,Search & Data Management
scikit,3,Scikit-Learn,Machine Learning,Machine Learning & Stats
tdd,3,Test-Driven Development,Methodology,Machine Learning & Stats
wireless,3,Wireless,,needs input
aws- azure,2,Amazon Web Services,Cloud Computing,Search & Data Management
cloud,2,Cloud,Cloud Computing,Search & Data Management
aws- azure,2,Microsoft Azure,Cloud Computing,Search & Data Management
masters or phd,2,Master's Degree,Credential,Credential
masters or phd,2,PhD,Credential,Credential
hadoop - hive - pig,2,Hadoop,Database Technology,Search & Data Management
hdfs,2,HDFS,Database Technology,Search & Data Management
hadoop - hive - pig,2,Hive,Database Technology,Search & Data Management
nosql databases - mongodb-couchbase - cassandra,2,MongoDB,Database Technology,Search & Data Management
hadoop - hive - pig,2,Pig,Database Technology,Search & Data Management
rds,2,Relational Database Management Systems,Database Technology,Search & Data Management
restful apis,2,REST,Database Technology,Search & Data Management
apache spark - python,2,Spark,Database Technology,Search & Data Management
experimental design - sql,2,SQL,Database Technology,Programming Languages & Distributions
access,2,Access,Database Technology,Search & Data Management
bigquery,2,BigQuery,Database Technology,Search & Data Management
nosql databases - mongodb-couchbase - cassandra,2,Cassandra,Database Technology,Search & Data Management
nosql databases - mongodb-couchbase - cassandra,2,Couchbase,Database Technology,Search & Data Management
db2,2,DB2,Database Technology,Search & Data Management
nosql databases - mongodb-couchbase - cassandra,2,NoSQL,Database Technology,Search & Data Management
django,2,Django,Development Tool,Programming Languages & Distributions
adtech,2,Adtech,Domain Expertise,Domain Expertise
u.s. airline,2,Airlines,Domain Expertise,Domain Expertise
u.s. travel agency,2,Airlines,Domain Expertise,Domain Expertise
avionics,2,Avionics,Domain Expertise,Domain Expertise
biostatistics,2,Biostatistics,Domain Expertise,Domain Expertise
business process analysis,2,Business,Domain Expertise,Domain Expertise
emr,2,Electronic Medical Record,Domain Expertise,Domain Expertise
environmental,2,Environmental,Domain Expertise,Domain Expertise
lead generation,2,Lead Generation,Domain Expertise,Domain Expertise
marketing/advertising analytics,2,Marketing,Domain Expertise,Domain Expertise
experience with nlp technologies/data science in a clinical background,2,Medical Clinic,Domain Expertise,Domain Expertise
c++ - operations research,2,Operations,Domain Expertise,Domain Expertise
underwriting,2,Underwriting,Domain Expertise,Domain Expertise
agile environment,2,Agile,Environment,Environment
release,2,Exclude,Exclude,needs input
rwd,2,Exclude,Exclude,needs input
ai - data scientist,2,Artificial Intelligence,General Skill,Machine Learning & Stats
big data management/concepts,2,Big Data,General Skill,Search & Data Management
large data set organization & analytics,2,Big Data,General Skill,Search & Data Management
bi,2,Business Intelligence,General Skill,Business Intelligence & Reporting
data architecture,2,Data Architecture,General Skill,Search & Data Management
data modeling for analytics,2,Data Modeling,General Skill,Machine Learning & Stats
mathematics,2,Mathematics,General Skill,Machine Learning & Stats
experience with nlp technologies/data science in a clinical background,2,Natural Language Processing,General Skill,Machine Learning & Stats
quantitative modeling,2,Quantitative Analysis/Modeling,General Skill,Machine Learning & Stats
regression,2,Regression,General Skill,Machine Learning & Stats
regression/logistic regression,2,Regression,General Skill,Machine Learning & Stats
regression/logistic regression - sas,2,Regression,General Skill,Machine Learning & Stats
statistical modelers,2,Statistics/Statistical Modeling,General Skill,Machine Learning & Stats
data visualization,2,Visualization,General Skill,Data Visualization & Reporting
data visualizations & reporting,2,Visualization,General Skill,Data Visualization & Reporting
algorithmic development,2,Algorithm,Machine Learning,Machine Learning & Stats
clustering algorithms,2,Clustering,Machine Learning,Machine Learning & Stats
deep learning networks,2,Deep Learning,Machine Learning,Machine Learning & Stats
machine learning models,2,Machine Learning,Machine Learning,Machine Learning & Stats
machine-learning,2,Machine Learning,Machine Learning,Machine Learning & Stats
model development experience,2,Machine Learning,Machine Learning,Machine Learning & Stats
neural networks,2,Machine Learning,Machine Learning,Machine Learning & Stats
glm,2,Generalized Linear Model,Mathematical ,Machine Learning & Stats
linux os,2,Linux,Operating System,Operating System
android,2,Android,Platform,Operating System
ai - data scientist,2,Data Scientist,Position,Position
modeler,2,Modeler,Position,Position
scientist,2,Scientist,Position,Position
c,2,C,Programming Language,Programming Languages & Distributions
c++ - operations research,2,C++,Programming Language,Programming Languages & Distributions
golang,2,Go,Programming Language,Programming Languages & Distributions
python or java,2,Java,Programming Language,Programming Languages & Distributions
php,2,PHP,Programming Language,Programming Languages & Distributions
apache spark - python,2,Python,Programming Language,Programming Languages & Distributions
python or java,2,Python,Programming Language,Programming Languages & Distributions
python or r,2,Python,Programming Language,Programming Languages & Distributions
python tools,2,Python,Programming Language,Programming Languages & Distributions
programming in r,2,R,Programming Language,Programming Languages & Distributions
python or r,2,R,Programming Language,Programming Languages & Distributions
regression/logistic regression - sas,2,SAS,Programming Language,Programming Languages & Distributions
sas enterprise miner,2,SAS,Programming Language,Programming Languages & Distributions
sas programming,2,SAS,Programming Language,Programming Languages & Distributions
