skill,count,clean_skill,skill_group
data science/ai/machine learning,1,Artificial Intelligence,General Skill
datarobot for quick implementation of ai/ml,1,Artificial Intelligence,General Skill
asp,4,ASP,Programming Language
asp.net,4,ASP,Programming Language
asset mgmt/electronic trading,1,Asset Management,Domain Expertise
astronomy,1,Astronomy,Domain Expertise
atlassian,1,Atlassian,Collaboration tools
automated,22,Automation,
automation,2,Automation,
automation - machine learning,1,Automation,
avionics,2,Avionics,Domain Expertise
bs/ms in computer science,1,Bachelors,Credential
backend coding,1,Backend Coding,
bash,1,Bash,Scripting
bash/shell,1,Bash,Scripting
unix,9,Bash,Scripting
bayesian hierarchical modeling,4,Bayesian,Statistical
bayesian inference,2,Bayesian,Statistical
bayesian-statistics,1,Bayesian,Statistical
and behavioral modeling and simulation for bfs/retail,1,Behavioral Modeling,
benchmark,1,Benchmark,
big data,17,Big Data,General Skill
big data ecosystem,1,Big Data,General Skill
big data management tools i.e. informatica bdm/idl/eic/idq,1,Big Data,General Skill
big data management/concepts,2,Big Data,General Skill
big data science,1,Big Data,General Skill
big data storage,1,Big Data,General Skill
big data/hadoop,1,Big Data,General Skill
bigdata,3,Big Data,General Skill
distributed computing - big data,1,Big Data,General Skill
large data set organization & analytics,2,Big Data,General Skill
large data sets,8,Big Data,General Skill
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Big Data,General Skill
bigquery,2,BigQuery,Database Technology
bigtable,1,BigTable,Database Technology
bioinformatics,1,Bioinformatics,Domain Expertise
biology,1,Biology,Domain Expertise
biomedical,1,Biomedical,Domain Expertise
biomedical - data science,1,Biomedical,Domain Expertise
biostatistics,2,Biostatistics,Domain Expertise
biostatistics - r,1,Biostatistics,Domain Expertise
bitbucket,1,BitBucket,Programming Tool
blueprint,1,Blueprint,
business concepts,1,Business,Domain Expertise
business objects,7,Business,Domain Expertise
business process analysis,2,Business,Domain Expertise
knowledge of a variety of machine learning and statistical modeling techniques in a business setting,1,Business,Domain Expertise
business analyst,1,Business Analyst,Position
business analyst and data and sql,1,Business Analyst,Position
business analyst data scientist r python jira github tableau powerbi statistics,1,Business Analyst,Position
bi,2,Business Intelligence,General Skill
bi dashboards,1,Business Intelligence,General Skill
bi engineer/data scientist,1,Business Intelligence,General Skill
business intelligence,7,Business Intelligence,General Skill
business intelligence engineer iii,1,Business Intelligence,General Skill
with thorough knowledge of business intelligence and analytics,1,Business Intelligence,General Skill
business services general,1,Business,Domain Expertise
c,2,C,Programming Language
c/c++,1,C,Programming Language
c/c++ - data scientist,1,C,Programming Language
c#,7,C#,Programming Language
data scientist machine learning statistics r python c# java scala,1,C#,Programming Language
python/java/c#,1,C#,Programming Language
c/c++,1,C++,Programming Language
c/c++ - data scientist,1,C++,Programming Language
c++,19,C++,Programming Language
c++ - operations research,2,C++,Programming Language
java or c++,1,C++,Programming Language
scala or c++),1,C++,Programming Language
caffe,1,Caffe,Programming Language
data analyst and capacity and visualization and sql and azure,1,Capacity,
case,6,Case,
cassandra,4,Cassandra,
nosql (dynamodb/cassandra/mongodb),1,Cassandra,
nosql databases - mongodb-couchbase - cassandra,2,Cassandra,
celery,1,Celery,Distributed System
celery - java,1,Celery,Distributed System
cfa,1,CFA,Credential
cfa a plus,1,CFA,Credential
cgi,1,CGI,Programming Language
chaid,1,CHAID,
change management,1,Change Management,Soft Skill
chief data scientist,1,Chief Data Scientist,Position
cisco,1,Cisco,
civil,2,Civil,
claims,3,Claims,
claims data,1,Claims,
cloud,2,Cloud,
cloud enablement/deployment,1,Cloud,
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1,Cloud,
cloud/analytics,1,Cloud,
data scientist machine learning statistical modeling database data python r cloud,1,Cloud,
etc.) gcp or other cloud platforms,1,Cloud,
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Cloud,
